"","BT-549","CCRF-CEM","DU-145","HL-60(TB)","HS 578T","IGROV1","K-562","MCF7","MDA-MB-231/ATCC","MOLT-4","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","SK-OV-3","SR","T-47D"
"X-4015",0.0114956388378294,-2.26072793845062,-0.499537844468478,-1.6229688233009,-0.676533850552369,0.187345474237247,1.57094860517333,-0.0800879113226919,-0.141886349358483,-1.65138986246013,-2.0350469470992,-0.272297327162762,-1.11820488499498,1.10835717809042,-0.249822294406943,-0.812654525762753,0.567220918333889,-0.520079649136302,2.20121562807761,0.0998562368320663
"X-4019",0.452068230223811,-3.19759995988516,-0.156820109742826,-4.79585928321977,-1.90328835892832,-0.169744675832317,0.248129982750056,-1.10469737866669,1.56559717585423,-3.24696603720614,-1.78919555293876,-0.262457443202273,-2.83307036231685,1.90906902260635,-0.382074667251013,-2.98469274721215,-0.29689930039584,0.178873958169795,1.92118240225845,0.430463702888451
"X-4020",0.480265122054463,-2.62890584830875,-0.56277226108709,-3.68656064072896,-0.603840510926846,0.439357178474257,2.1271930310069,-0.193744693118259,0.0100636833446975,-2.16272950003811,-3.20645087746743,-0.0714717551330381,-1.53812224651818,1.23654364117634,-0.0974761513726201,-1.02816525412841,-0.995199013736179,0.92523990548741,2.47023315352097,0.128733314122203
"X-4027",0.571434115876509,-5.96578428466209,-1.48735170409473,-5.96578428466209,-5.96578428466209,-0.509087633746029,0.592955291474687,1.57692518165574,-1.16596303528989,-0.00723156923107586,1.09940742829185,-0.0846703239869906,-3.83650126771712,-0.675765437729469,0.523394677369262,-2.48196850739783,0.714868261101214,1.17993562209355,-5.96578428466209,-0.233334171618374
"X-4043",-0.0872224121120631,-2.84684321193858,0.935334017268726,-2.85377925914896,-0.407363571393423,-0.107803289534515,-1.92321290091045,-0.823677227359537,0.035154664307528,-1.6363616532278,-0.101082246907052,1.00815219576346,-1.02326977932285,-0.210340294529948,0.103889243144724,-0.832213909314023,-1.18989970120358,0.0323359821196901,-0.994240730711315,-0.01547140876244
"X-4046",-3.50635266602479,-3.50635266602479,-0.79002683791762,-3.50635266602479,-3.50635266602479,-2.66505041204385,-3.50635266602479,-3.50635266602479,-3.50635266602479,-3.50635266602479,1.99518298370222,0.336854639125465,-0.320726349677609,1.45820699414295,0.282933963271499,-3.50635266602479,-2.84338765330236,0.832147383508891,-3.50635266602479,-3.50635266602479
"X-4251",-0.117683020261174,-3.7178567712185,0.359895945086383,-3.7178567712185,-3.7178567712185,-0.87655451723756,-3.7178567712185,1.03115990392552,-0.158429362604483,-3.7178567712185,-0.931443829967557,0.722466024471091,-3.7178567712185,-0.145605322246899,-2.08110496814373,-3.7178567712185,-3.7178567712185,2.34151141053492,-0.909598187972011,1.75688096187389
"X-4354",0.911755487214021,-0.725788044854721,-2.54793176977619,-2.54793176977619,-2.54793176977619,0.0985093921340712,0.355392210812137,-2.54793176977619,-0.0674348303838902,-0.0887558347976717,0.0233736496265051,0.907403462674314,-2.54793176977619,-2.54793176977619,-2.54793176977619,-0.448114896528275,-2.54793176977619,-0.0704614644468713,0.165215204871901,-0.00337022188514241
"X-4503",-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-1.188803011648,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781,-2.10159814000781
"X-4510",-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-0.978994141879698,-1.9378782880922,-1.9378782880922,-1.9378782880922
"X-4514",-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.52422334286348,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922,-1.9378782880922
"X-4516",-0.0266948666654201,-2.85725982788392,0.639695233399582,0.273416424360915,-1.108840080841,-1.53254660657002,2.676342640714,-0.244115423670742,0.039372388723932,0.159198594849254,-0.442222328605074,0.73407731484138,-0.61116757106855,0.823749360308273,0.396890152568584,-0.0330773972494313,0.191562650700756,0.734366403118249,3.3684890006451,-0.146669649142009
"X-4517",-2.608232280044,-2.608232280044,-0.674229838818243,-0.130786607535354,-2.13711885635907,-2.608232280044,-0.0513991525066442,-1.57776699931695,-2.608232280044,-2.608232280044,-2.608232280044,0.603121869839996,-2.608232280044,-0.522840788813359,-2.608232280044,-2.608232280044,-1.13078660753535,-0.457329220995283,0.321158452275944,-1.95269428522164
"X-4522",-2.26534456652099,-2.26534456652099,-1.6333747059064,-2.26534456652099,-2.26534456652099,-2.26534456652099,-2.26534456652099,-0.260727938450625,-2.26534456652099,-2.26534456652099,-0.0902908890736066,-2.26534456652099,-2.26534456652099,-0.483984852996335,-0.702123844953905,-2.26534456652099,-2.26534456652099,-1.06995658428743,-2.26534456652099,-0.515260334091089
