"","BT-549","CCRF-CEM","DU-145","HL-60(TB)","HS 578T","IGROV1","K-562","MCF7","MDA-MB-231/ATCC","MOLT-4","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","SK-OV-3","SR","T-47D"
"VDAC1",9.60251331600979,9.32620477324068,9.18413151874194,9.54515757104008,9.06312542043009,10.05812706719,9.06285568218234,9.7379233327788,10.0560957695896,9.41023935197965,9.67313238981678,9.25266545610099,10.2638560313301,9.8565811663262,9.59488442147881,9.03699780173156,9.59805251877702,9.80928582627888,8.85922419304399,8.1001367238618
"PIGT",9.46943834015882,8.53721843937292,9.22279492701363,8.75053954685101,9.86031107044068,8.24031437704188,7.70113322417498,7.81442231065809,8.74281470353925,8.17990913976304,8.74584239616622,8.82845390566597,8.86046628955622,8.77577490155299,8.48542686742401,8.39831620615939,8.80509898037065,7.9378152276409,7.32463070526687,9.12205147360576
"BFAR",8.19130606827535,8.31242925163265,7.19179959974462,8.28863545517439,8.22737532176418,7.85362151812215,7.91229064323882,7.99887251039361,7.95070174840328,8.01680834338906,8.87713075944824,8.25833051972853,8.13545283549012,8.32822616367557,8.39617666105704,7.2555008275656,8.38284018769558,8.25974331076076,7.70113322417498,7.82017902625125
"HOXC13",5.54535095375054,2.94486031943625,5.02680050188814,2.92600131683792,3.72246711742147,1.80735904403755,2.63227054242512,6.95186762086123,2.76553686797177,2.84799891029667,2.13750680259857,2.45943424171681,2.56071739971824,2.70044193767022,4.65535240111047,2.35050007589517,3.29278322136489,3.37851301045983,2.26303741144533,5.95652159565114
"FBXO17",6.26865914214764,1.37851717207014,6.70043985686176,2.43296207893112,7.28817406041524,3.85798199008933,6.56071510730234,5.74416136472991,5.75221363552654,1.80735904403755,7.36981551150852,7.94953499137846,7.39660486680174,2.3785143976646,6.94251462263152,2.29278469350044,2.35050007589517,2.96347597358273,7.64745849840978,4.36457313263308
"IL1RAPL2",6.61765126634128,6.53760684679077,6.52512940784838,6.3074287073507,6.22110391875862,6.01569403008736,5.9541965430796,7.31560254720261,6.38024476367086,6.07038954257814,5.20554930214725,5.67807218688899,5.96116048970886,6.34695706661414,6.1618878838706,6.43128882146366,6.30560597197417,6.24982473819502,5.244126323942,6.7865964925697
"CHRNG",3.98185356638758,4.30012445690134,2.70044193767022,4.94485891421494,5.27426203404642,3.37851301045983,3.26303590864035,4.82781953260844,4.24031509266422,4.25550148848591,3.6438573439303,3.9634750487791,3.59693633469669,5.09592484183913,5.65821176843395,3.83794425076833,4.62058699691316,2.13750680259857,3.29278322136489,3.18586813068963
"KAT8",6.58496265100188,7.90327940231909,7.02125773162249,7.57818404358434,7.38284023091592,5.97956832873147,7.20457124205903,7.56147896787449,6.43462839442227,7.33628347714011,6.96116037392275,5.76553501156425,6.42626492245733,7.18982465769474,6.88874337064467,6.00000022542108,7.8740592646371,6.67948024025617,6.74416123015016,7.19179959974462
"DCDC2",2.35050007589517,2.98185447948484,1.13751008143976,3.5360541439423,2.40599508173938,5.8099291228863,1.43296475058118,2.29278469350044,2.53605538764331,2.0703927628755,2.78659845275167,4.6496160338422,4.78136023814094,-0.514552563047815,3.08746453853762,3.35049866149034,2.53605538764331,4.80735543730574,0.263046428242375,0.485437132098016
"SERTAD1",6.8617074106353,5.90689083605767,7.78855528017966,5.77873450690379,6.87282888263173,7.34518353591429,6.91886335650559,7.94310090619311,7.79895781268242,6.34872833124886,7.386293721385,9.29943702232379,8.44997402706557,7.47492278147564,7.17192745440166,6.7996055519585,6.10223840393,7.57440438471487,7.98925262194266,8.11217888586191
